0.997,
1.000,
1.027,
1.075,
1.105,
1.185,
1.124,
1.186,
1.142,
1.193,
1.149,
1.216,
1.205,
1.280,
1.201,
1.300,
1.012,
1.022,
1.047,
1.126,
1.118,
1.204,
1.124,
1.212,
1.103,
1.189,
1.158,
1.190,
1.197,
1.277,
1.228,
1.328
